"","cell","TissueType","OncoTree1","OncoTree2","OncoTree3","OncoTree4","TNBC","name","source","celloidx","celloacs","cid","ot2","ot3","ot4","ot1","link"
"717","kku-213a","biliary_tract","Biliary_Tract","cholangiocarcinoma","intrahepatic","","","KKU213","achilles","KKU-213A","CVCL_M261","kku-213a","cholangiocarcinoma","intrahepatic","","Biliary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kku-213a_cvcl_m261.html' target='_blank'>details</a>"
"718","kle","endometrium: adenocarcinoma;UCEC;endometrium;urogenital_system","Uterus","Endometrial Carcinoma (UCEC);endometrial_adenocarcinoma","","","","KLE","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2","KLE","CVCL_1329","kle","endometrial carcinoma;endometrial adenocarcinoma","","","Uterus","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kle_cvcl_1329.html' target='_blank'>details</a>"
"719","klm-1","pancreas: ductal_carcinoma","Pancreas","Pancreatic Adenocarcinoma (PAAD)","","","","KLM-1","ccle","KLM-1","CVCL_5146","klm-1","pancreatic adenocarcinoma","","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/klm-1_cvcl_5146.html' target='_blank'>details</a>"
"720","km-h2","haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma;lymphoma;Hodgkin lymphoma","Lymph","Hodgkin's Lymphoma (HL)","","","","KM-H2;KMH2","ccle;gdscDec15;mdaMills;gdsc1;gdsc2;ancats","KM-H2","CVCL_1330","km-h2","hodgkin's lymphoma","","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/km-h2_cvcl_1330.html' target='_blank'>details</a>"
"721","km12","colon;large_intestine: adenocarcinoma;large_intestine","Bowel","Colorectal Adenocarcinoma (COADREAD);colorectal_adenocarcinoma","","","","CO:KM12;KM12","nci60;ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2","KM12","CVCL_1331","km12","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/km12_cvcl_1331.html' target='_blank'>details</a>"
"722","kmbc-2","urinary_tract: carcinoma;Urinary Tract;urinary_tract","Bladder_Urinary_Tract","Bladder Carcinoma;bladder_carcinoma","","","","KMBC-2;KMBC2","ccle;prism;achilles","KMBC-2","CVCL_2977","kmbc-2","bladder carcinoma","","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmbc-2_cvcl_2977.html' target='_blank'>details</a>"
"723","kmch-1","biliary_tract","Biliary_Tract","cholangiocarcinoma","intrahepatic","","","KMCH1","achilles","KMCH-1","CVCL_7970","kmch-1","cholangiocarcinoma","intrahepatic","","Biliary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmch-1_cvcl_7970.html' target='_blank'>details</a>"
"724","kmh-2","THCA;thyroid","Thyroid","","","","","KMH-2","gdscDec15;gdsc1;gdsc2","KMH-2","CVCL_S641","kmh-2","","","","Thyroid","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmh-2_cvcl_s641.html' target='_blank'>details</a>"
"725","kmm-1","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;haematopoietic_and_lymphoid_tissue;Plasma cell myeloma","Blood","Multiple Myeloma (MM);multiple_myeloma","","","","KMM-1;KMM1","ccle;achilles;ancats","KMM-1","CVCL_2981","kmm-1","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmm-1_cvcl_2981.html' target='_blank'>details</a>"
"726","kmoe-2","LAML;leukemia","Blood","Leukemia (LEUK)","Acute Myeloid Leukemia (AML)","","","KMOE-2","gdscDec15;gdsc1;gdsc2","KMOE-2","CVCL_1332","kmoe-2","leukemia","acute myeloid leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmoe-2_cvcl_1332.html' target='_blank'>details</a>"
"727","kmrc-1","kidney: clear_cell_renal_cell_carcinoma;KIRC;Kidney;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma;renal_cell_carcinoma","Renal Clear Cell Carcinoma (CCRCC);Clear Cell;clear_cell","","","KMRC-1;KMRC1","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KMRC-1","CVCL_2983","kmrc-1","renal cell carcinoma","renal clear cell carcinoma;clear cell","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmrc-1_cvcl_2983.html' target='_blank'>details</a>"
"728","kmrc-2","kidney: clear_cell_renal_cell_carcinoma","Kidney","Renal Cell Carcinoma (RCC)","Renal Clear Cell Carcinoma (CCRCC)","","","KMRC-2","ccle","KMRC-2","CVCL_2984","kmrc-2","renal cell carcinoma","renal clear cell carcinoma","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmrc-2_cvcl_2984.html' target='_blank'>details</a>"
"729","kmrc-20","kidney: renal_cell_carcinoma;Kidney;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma;renal_cell_carcinoma","","","","KMRC-20;KMRC20","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KMRC-20","CVCL_2986","kmrc-20","renal cell carcinoma","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmrc-20_cvcl_2986.html' target='_blank'>details</a>"
"730","kmrc-3","kidney: clear_cell_renal_cell_carcinoma;Kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma","Renal Clear Cell Carcinoma (CCRCC);Clear Cell","","","KMRC-3;KMRC3","ccle;prism","KMRC-3","CVCL_2985","kmrc-3","renal cell carcinoma","renal clear cell carcinoma;clear cell","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kmrc-3_cvcl_2985.html' target='_blank'>details</a>"
"731","kms-11","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;pleural_effusion;myeloma;Plasma cell myeloma","Blood;Lung","Multiple Myeloma (MM);multiple_myeloma","","","","KMS-11;KMS11","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2;ancats","KMS-11","CVCL_2989","kms-11","multiple myeloma","","","Blood;Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-11_cvcl_2989.html' target='_blank'>details</a>"
"732","kms-12-bm","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;myeloma","Blood","Multiple Myeloma (MM)","","","","KMS-12-BM;KMS12BM","ccle;gdscDec15;mdaMills;gdsc1;gdsc2","KMS-12-BM","CVCL_1334","kms-12-bm","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-12-bm_cvcl_1334.html' target='_blank'>details</a>"
"733","kms-12-pe","blood;Plasma cell myeloma","Blood","","","","","KMS12PE;KMS-12-PE","mdaMills;ancats","KMS-12-PE","CVCL_1333","kms-12-pe","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-12-pe_cvcl_1333.html' target='_blank'>details</a>"
"734","kms-18","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;haematopoietic_and_lymphoid_tissue","Blood","Multiple Myeloma (MM);multiple_myeloma","","","","KMS-18;KMS18","ccle;achilles","KMS-18","CVCL_A637","kms-18","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-18_cvcl_a637.html' target='_blank'>details</a>"
"735","kms-20","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;bone_marrow;Plasma cell myeloma","Blood","Multiple Myeloma (MM);multiple_myeloma","","","","KMS-20;KMS20","ccle;achilles;mdaMills;ancats","KMS-20","CVCL_2990","kms-20","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-20_cvcl_2990.html' target='_blank'>details</a>"
"736","kms-21-bm","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma","Blood","Multiple Myeloma (MM)","","","","KMS-21BM","ccle","KMS-21-BM","CVCL_2991","kms-21-bm","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-21-bm_cvcl_2991.html' target='_blank'>details</a>"
"737","kms-26","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;pleural_effusion;Plasma cell myeloma","Blood","Multiple Myeloma (MM);multiple_myeloma","","","","KMS-26;KMS26","ccle;achilles;mdaMills;ancats","KMS-26","CVCL_2992","kms-26","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-26_cvcl_2992.html' target='_blank'>details</a>"
"738","kms-27","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;haematopoietic_and_lymphoid_tissue;Plasma cell myeloma","Blood","Multiple Myeloma (MM);multiple_myeloma","","","","KMS-27;KMS27","ccle;achilles;mdaMills;ancats","KMS-27","CVCL_2993","kms-27","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-27_cvcl_2993.html' target='_blank'>details</a>"
"739","kms-28bm","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;Plasma cell myeloma","Blood","Multiple Myeloma (MM)","","","","KMS-28BM","ccle;ancats","KMS-28BM","CVCL_2994","kms-28bm","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-28bm_cvcl_2994.html' target='_blank'>details</a>"
"740","kms-34","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma;pleural_effusion;Plasma cell myeloma","Blood","Multiple Myeloma (MM);multiple_myeloma","","","","KMS-34;KMS34","ccle;achilles;mdaMills;ancats","KMS-34","CVCL_2996","kms-34","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kms-34_cvcl_2996.html' target='_blank'>details</a>"
"741","kns-42","central_nervous_system: glioma;CANNOT_CLASSIFY;Central Nervous System;central_nervous_system;nervous_system","Brain_CNS","Glioma;glioma","Glioblastoma;glioblastoma","","","KNS-42;KNS42","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KNS-42","CVCL_0378","kns-42","glioma","glioblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kns-42_cvcl_0378.html' target='_blank'>details</a>"
"742","kns-60","central_nervous_system: astrocytoma_Grade_IV;Central Nervous System;central_nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma;glioma","Astrocytoma (ASTR);Glioblastoma;glioblastoma","","","KNS-60;KNS60","ccle;prism;achilles","KNS-60","CVCL_2798","kns-60","diffuse glioma;glioma","astrocytoma;glioblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kns-60_cvcl_2798.html' target='_blank'>details</a>"
"743","kns-62","lung: squamous_cell_carcinoma;LUSC;Lung;central_nervous_system;lung_NSCLC","Lung","Non-Small Cell Lung Cancer (NSCLC);NSCLC","Lung Squamous Cell Carcinoma (LUSC);NSCLC Squamous;NSCLC_squamous","","","KNS-62;KNS62","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KNS-62","CVCL_1335","kns-62","non-small cell lung cancer;nsclc","lung squamous cell carcinoma;nsclc squamous","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kns-62_cvcl_1335.html' target='_blank'>details</a>"
"744","kns-81","central_nervous_system: astrocytoma_Grade_IV;CANNOT_CLASSIFY;Central Nervous System;nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma","Astrocytoma (ASTR);Glioblastoma","","","KNS-81;KNS-81-FD;KNS81","ccle;gdscDec15;prism;gdsc1;gdsc2","KNS-81","CVCL_2799","kns-81","diffuse glioma;glioma","astrocytoma;glioblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kns-81_cvcl_2799.html' target='_blank'>details</a>"
"745","ko52","haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia;LAML;bone_marrow","Blood","Leukemia (LEUK);AML","Acute Myeloid Leukemia (AML);M2","","","KO52;K052","ccle;gdscDec15;achilles","KO52","CVCL_1321","ko52","leukemia;aml","acute myeloid leukemia;m2","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ko52_cvcl_1321.html' target='_blank'>details</a>"
"746","koc-7c","ovary","Ovary","","","","","KOC7C","mdaMills","KOC-7C","CVCL_5307","koc-7c","","","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/koc-7c_cvcl_5307.html' target='_blank'>details</a>"
"747","kon","HNSC;upper_aerodigestive_tract;aero_dig_tract","Head_Neck","upper_aerodigestive_squamous","","","","KON","gdscDec15;achilles;gdsc1;gdsc2","KON","CVCL_3001","kon","upper aerodigestive squamous","","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kon_cvcl_3001.html' target='_blank'>details</a>"
"748","kopn-8","haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia;leukemia","Blood","Leukemia (LEUK)","Acute Lymphoid Leukemia (ALL)","","","KOPN-8;KOPN8","ccle;gdscDec15;mdaMills;gdsc1;gdsc2","KOPN-8","CVCL_1866","kopn-8","leukemia","acute lymphoid leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kopn-8_cvcl_1866.html' target='_blank'>details</a>"
"749","kosc-2","HNSC;aero_dig_tract","Head_Neck","","","","","KOSC-2","gdscDec15;gdsc1;gdsc2","KOSC-2","CVCL_1337","kosc-2","","","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kosc-2_cvcl_1337.html' target='_blank'>details</a>"
"750","kp-1n","pancreas","Pancreas","","","","","KP-1N","gdscDec15;gdsc1;gdsc2","KP-1N","CVCL_3002","kp-1n","","","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-1n_cvcl_3002.html' target='_blank'>details</a>"
"751","kp-2","pancreas: carcinoma;PAAD;Pancreas;pancreas","Pancreas","Exocrine;exocrine","Exocrine Adenocarcinoma;exocrine_adenocarcinoma","","","KP-2;KP2","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KP-2","CVCL_3004","kp-2","exocrine","exocrine adenocarcinoma","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-2_cvcl_3004.html' target='_blank'>details</a>"
"752","kp-3","pancreas: ductal_carcinoma;OTHER;Pancreas;liver;pancreas","Pancreas","Pancreatic Adenocarcinoma (PAAD);Exocrine;exocrine","Exocrine Adenosquamous;exocrine_adenosquamous","","","KP-3;KP3","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KP-3","CVCL_3005","kp-3","pancreatic adenocarcinoma;exocrine","exocrine adenosquamous","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-3_cvcl_3005.html' target='_blank'>details</a>"
"753","kp-4","pancreas: ductal_carcinoma;PAAD;Pancreas;ascites;pancreas","Pancreas","Pancreatic Adenocarcinoma (PAAD);Exocrine;exocrine","Exocrine Adenocarcinoma;exocrine_adenocarcinoma","","","KP4;KP-4","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KP-4","CVCL_1338","kp-4","pancreatic adenocarcinoma;exocrine","exocrine adenocarcinoma","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-4_cvcl_1338.html' target='_blank'>details</a>"
"754","kp-mrt-ry","Soft_Tissue","Soft_Tissue","","","","","KPMRTRY","ccle","KP-MRT-RY","CVCL_7051","kp-mrt-ry","","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-mrt-ry_cvcl_7051.html' target='_blank'>details</a>"
"755","kp-n-rt-bm-1","autonomic_ganglia: neuroblastoma;neuroblastoma","Brain_CNS","Embryonal Tumor (EMBT)","Neuroblastoma (NBL)","","","KP-N-RT-BM-1","ccle;gdscDec15;gdsc1;gdsc2","KP-N-RT-BM-1","CVCL_1339","kp-n-rt-bm-1","embryonal tumor","neuroblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-n-rt-bm-1_cvcl_1339.html' target='_blank'>details</a>"
"756","kp-n-si9s","autonomic_ganglia: neuroblastoma","Brain_CNS","Embryonal Tumor (EMBT)","Neuroblastoma (NBL)","","","KP-N-SI9s","ccle","KP-N-SI9s","CVCL_1340","kp-n-si9s","embryonal tumor","neuroblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-n-si9s_cvcl_1340.html' target='_blank'>details</a>"
"757","kp-n-yn","autonomic_ganglia: neuroblastoma;lymph_node;neuroblastoma","Brain_CNS;Peripheral_Nervous_System","Embryonal Tumor (EMBT);neuroblastoma","Neuroblastoma (NBL)","","","KP-N-YN;KPNYN","ccle;gdscDec15;achilles;gdsc1;gdsc2","KP-N-YN","CVCL_1341","kp-n-yn","embryonal tumor;neuroblastoma","neuroblastoma","","Brain_CNS;Peripheral_Nervous_System","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-n-yn_cvcl_1341.html' target='_blank'>details</a>"
"758","kp-n-ys","neuroblastoma","Brain_CNS","Embryonal Tumor (EMBT)","Neuroblastoma (NBL)","","","KP-N-YS","gdscDec15;gdsc1;gdsc2","KP-N-YS","CVCL_1342","kp-n-ys","embryonal tumor","neuroblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kp-n-ys_cvcl_1342.html' target='_blank'>details</a>"
"759","kpl-1","breast: ductal_carcinoma;pleural_effusion","Breast","Breast Carcinoma (BRCA);breast_carcinoma","Breast Invasive Ductal Carcinoma (IDC);ERpos_HER2neg","","","KPL-1;KPL1","ccle;achilles","KPL-1","CVCL_2094","kpl-1","breast carcinoma","breast invasive ductal carcinoma;erpos her2neg","","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kpl-1_cvcl_2094.html' target='_blank'>details</a>"
"760","ks-1","central_nervous_system: astrocytoma_Grade_IV;GBM;nervous_system","Brain_CNS","Diffuse Glioma (DIFG)","Astrocytoma (ASTR)","","","KS-1","ccle;gdscDec15;gdsc1;gdsc2","KS-1","CVCL_1343","ks-1","diffuse glioma","astrocytoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ks-1_cvcl_1343.html' target='_blank'>details</a>"
"761","ktctl-129","kidney","Kidney","","","","","RCCMH","mdaMills","KTCTL-129","CVCL_5885","ktctl-129","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-129_cvcl_5885.html' target='_blank'>details</a>"
"762","ktctl-13","kidney","Kidney","","","","","RCC-ER;RCCER","gdscDec15;mdaMills;gdsc1;gdsc2","KTCTL-13","CVCL_5870","ktctl-13","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-13_cvcl_5870.html' target='_blank'>details</a>"
"763","ktctl-140","kidney","Kidney","","","","","RCC-JF;RCCJF","gdscDec15;mdaMills;gdsc1;gdsc2","KTCTL-140","CVCL_5879","ktctl-140","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-140_cvcl_5879.html' target='_blank'>details</a>"
"764","ktctl-185","kidney","Kidney","","","","","RCCGS","mdaMills","KTCTL-185","CVCL_5875","ktctl-185","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-185_cvcl_5875.html' target='_blank'>details</a>"
"765","ktctl-195","kidney","Kidney","","","","","RCC-JW;RCCJW","gdscDec15;mdaMills;gdsc1;gdsc2","KTCTL-195","CVCL_5880","ktctl-195","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-195_cvcl_5880.html' target='_blank'>details</a>"
"766","ktctl-1m","kidney","Kidney","","","","","RCC-MF;RCCMF","gdscDec15;mdaMills;gdsc1;gdsc2","KTCTL-1M","CVCL_5884","ktctl-1m","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-1m_cvcl_5884.html' target='_blank'>details</a>"
"767","ktctl-21","kidney","Kidney","","","","","RCC-AB","gdscDec15;gdsc1;gdsc2","KTCTL-21","CVCL_5868","ktctl-21","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-21_cvcl_5868.html' target='_blank'>details</a>"
"768","ktctl-26","kidney","Kidney","","","","","RCCFG1","mdaMills","KTCTL-26","CVCL_5872","ktctl-26","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-26_cvcl_5872.html' target='_blank'>details</a>"
"769","ktctl-26a","kidney","Kidney","","","","","RCC-FG2","gdscDec15;gdsc1;gdsc2","KTCTL-26A","CVCL_5873","ktctl-26a","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-26a_cvcl_5873.html' target='_blank'>details</a>"
"770","ktctl-48","kidney","Kidney","","","","","RCCHB","mdaMills","KTCTL-48","CVCL_5877","ktctl-48","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-48_cvcl_5877.html' target='_blank'>details</a>"
"771","ktctl-87","kidney","Kidney","","","","","RCCWK","mdaMills","KTCTL-87","CVCL_5888","ktctl-87","","","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ktctl-87_cvcl_5888.html' target='_blank'>details</a>"
"772","ku-19-19","urinary_tract: transitional_cell_carcinoma;BLCA;Urinary Tract;urinary_tract;urogenital_system","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA);Bladder Carcinoma;bladder_carcinoma","Bladder Transitional Cell;bladder_transitional_cell","","","KU-19-19;KU1919","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KU-19-19","CVCL_1344","ku-19-19","bladder urothelial carcinoma;bladder carcinoma","bladder transitional cell","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ku-19-19_cvcl_1344.html' target='_blank'>details</a>"
"773","ku812","haematopoietic_and_lymphoid_tissue: chronic_myeloid_leukaemia;haematopoietic_and_lymphoid_tissue;leukemia","Blood","Leukemia (LEUK);CML","Chronic Myelogenous Leukemia (CML);blast_crisis","","","KU812","ccle;gdscDec15;achilles;gdsc1;gdsc2","Ku812","CVCL_0379","ku812","leukemia;cml","chronic myelogenous leukemia;blast crisis","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ku812_cvcl_0379.html' target='_blank'>details</a>"
"774","kuramochi","ovary: undifferentiated_carcinoma;CANNOT_CLASSIFY;Ovary;ascites;urogenital_system","Ovary","Ovarian Epithelial Tumor (OVT);Ovary Adenocarcinoma;ovary_adenocarcinoma","High Grade Serous;high_grade_serous","","","KURAMOCHI","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","Kuramochi","CVCL_1345","kuramochi","ovarian epithelial tumor;ovary adenocarcinoma","high grade serous","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kuramochi_cvcl_1345.html' target='_blank'>details</a>"
"775","ky821","leukemia","Blood","","","","","KY821","gdscDec15;gdsc1;gdsc2","KY821","CVCL_1346","ky821","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ky821_cvcl_1346.html' target='_blank'>details</a>"
"776","kyae-1","aero_dig_tract","Esophagus_Stomach","","","","","KYAE-1","gdscDec15;gdsc1;gdsc2","KYAE-1","CVCL_1825","kyae-1","","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kyae-1_cvcl_1825.html' target='_blank'>details</a>"
"777","kym-1","soft_tissue: rhabdomyosarcoma;soft_tissue","Soft_Tissue","Rhabdomyosarcoma (RMS)","","","","KYM-1","ccle;gdscDec15;gdsc1;gdsc2","KYM-1","CVCL_3007","kym-1","rhabdomyosarcoma","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kym-1_cvcl_3007.html' target='_blank'>details</a>"
"778","kyo-1","haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia;haematopoietic_and_lymphoid_tissue","Blood","Leukemia (LEUK);CML","Chronic Myelogenous Leukemia (CML);blast_crisis","","","KYO-1;KYO1","ccle;achilles","KYO-1","CVCL_2095","kyo-1","leukemia;cml","chronic myelogenous leukemia;blast crisis","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kyo-1_cvcl_2095.html' target='_blank'>details</a>"
"779","kyse-140","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","KYSE-140;KYSE140","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KYSE-140","CVCL_1347","kyse-140","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kyse-140_cvcl_1347.html' target='_blank'>details</a>"
"780","kyse-150","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","KYSE-150;KYSE150","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KYSE-150","CVCL_1348","kyse-150","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kyse-150_cvcl_1348.html' target='_blank'>details</a>"
"781","kyse-180","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","KYSE-180;KYSE180","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KYSE-180","CVCL_1349","kyse-180","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kyse-180_cvcl_1349.html' target='_blank'>details</a>"
"782","kyse-220","aero_dig_tract","Esophagus_Stomach","","","","","KYSE-220","gdscDec15;gdsc1;gdsc2","KYSE-220","CVCL_1359","kyse-220","","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kyse-220_cvcl_1359.html' target='_blank'>details</a>"
"783","kyse-270","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","KYSE-270;KYSE270","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","KYSE-270","CVCL_1350","kyse-270","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kyse-270_cvcl_1350.html' target='_blank'>details</a>"
"784","kyse-30","oesophagus: squamous_cell_carcinoma;Esophagus;oesophagus","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous;esophagus_squamous","","","","KYSE-30;KYSE30","ccle;gdscDec15;prism;achilles","KYSE-30","CVCL_1351","kyse-30","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/kyse-30_cvcl_1351.html' target='_blank'>details</a>"
